0610006L08Rik
0610009B22Rik
0610009E02Rik
0610009L18Rik
0610010F05Rik
0610012G03Rik
0610030E20Rik
0610037L13Rik
0610040B10Rik
0610040F04Rik
0610040J01Rik
0610043K17Rik
1010001B22Rik
1110002E22Rik
1110002L01Rik
1110004F10Rik
1110008L16Rik
1110008P14Rik
1110012L19Rik
1110015O18Rik
1110017D15Rik
1110018N20Rik
1110019D14Rik
1110020A21Rik
1110025M09Rik
1110032A03Rik
1110032F04Rik
1110036E04Rik
1110038B12Rik
1110038F14Rik
1110051M20Rik
1110059E24Rik
1110059G10Rik
1110060G06Rik
1110065P20Rik
1190002N15Rik
1190005I06Rik
1190007I07Rik
1190028D05Rik
1300002E11Rik
1300017J02Rik
1500002C15Rik
1500004A13Rik
1500009C09Rik
1500009L16Rik
1500011B03Rik
1500011K16Rik
1500012K07Rik
1500015A07Rik
1500015L24Rik
1500015O10Rik
1500026H17Rik
1500035N22Rik
1600010M07Rik
1600012H06Rik
1600014C10Rik
1600014C23Rik
1600020E01Rik
1600027J07Rik
1600029O15Rik
1700001G01Rik
1700001J03Rik
1700001L19Rik
1700001O22Rik
1700003E16Rik
1700003F12Rik
1700003G18Rik
1700003M07Rik
1700003P14Rik
1700006J14Rik
1700008J07Rik
1700008O03Rik
1700010I14Rik
1700010J16Rik
1700010K23Rik
1700010K24Rik
1700011C11Rik
1700011L22Rik
1700012B09Rik
1700012D14Rik
1700012I11Rik
1700013F07Rik
1700015F17Rik
1700015G11Rik
1700016D06Rik
1700016P03Rik
1700017B05Rik
1700017G19Rik
1700018A23Rik
1700018L02Rik
1700019A02Rik
1700019D03Rik
1700019G24Rik
1700020I14Rik
1700020L24Rik
1700021F05Rik
1700022A22Rik
1700022E09Rik
1700022I11Rik
1700023C21Rik
1700023F02Rik
1700023F06Rik
1700024B05Rik
1700024B18Rik
1700025F22Rik
1700025G04Rik
1700025K24Rik
1700025O08Rik
1700026F02Rik
1700026J12Rik
1700027H10Rik
1700027I24Rik
1700028B04Rik
1700028E10Rik
1700028P14Rik
1700029I15Rik
1700029J07Rik
1700030C10Rik
1700030C14Rik
1700030F04Rik
1700030J22Rik
1700030K09Rik
1700030N03Rik
1700030O20Rik
1700031A10Rik
1700034H15Rik
1700034K08Rik
1700034P13Rik
1700036G14Rik
1700037C18Rik
1700037H04Rik
1700040D17Rik
1700040L08Rik
1700041M19Rik
1700044C05Rik
1700045H11Rik
1700047F07Rik
1700047M11Rik
1700048O20Rik
1700049E17Rik1
1700052K11Rik
1700054O19Rik
1700056N10Rik
1700057H15Rik
1700057H21Rik
1700060C16Rik
1700060O08Rik
1700061F12Rik
1700064H15Rik
1700065D16Rik
1700065L07Rik
1700065O20Rik
1700066C05Rik
1700066M21Rik
1700066N21Rik
1700069L16Rik
1700080N15Rik
1700084C06Rik
1700084F23Rik
1700086L19Rik
1700086O06Rik
1700088E04Rik
1700093K21Rik
1700094M23Rik
1700095J07Rik
1700096J18Rik
1700096K18Rik
1700101I11Rik
1700102P08Rik
1700108F19Rik
1700109H08Rik
1700109K24Rik
1700110C19Rik
1700110I01Rik
1700110I07Rik
1700111E14Rik
1700111N16Rik
1700112D23Rik
1700112H15Rik
1700112J16Rik
1700113A16Rik
1700113H08Rik
1700120G11Rik
1700120O09Rik
1700121L16Rik
1700122H20Rik
1700123M08Rik
1700123O12Rik
1700123O20Rik
1700123O21Rik
1700125H20Rik
1700126G02Rik
1700126H18Rik
1700128A07Rik
1700128F08Rik
1810007D17Rik
1810010H24Rik
1810013L24Rik
1810014B01Rik
1810019N24Rik
1810022K09Rik
1810024B03Rik
1810026B05Rik
1810030O07Rik
1810034E14Rik
1810037I17Rik
1810043G02Rik
1810055G02Rik
1810058I24Rik
1810062O18Rik
2010001A14Rik
2010005H15Rik
2010009K17Rik
2010109I03Rik
2010110G14Rik
2010111I01Rik
2010204K13Rik
2010300C02Rik
2010300F17Rik
2010308F09Rik
2010315B03Rik
2010320M18Rik
2200002D01Rik
2210008F06Rik
2210016F16Rik
2210016L21Rik
2210406O10Rik
2210408F21Rik
2210408I21Rik
2210418O10Rik
2300009A05Rik
2310001H17Rik
2310002F09Rik
2310008N11Rik
2310009A05Rik
2310009B15Rik
2310010J17Rik
2310011J03Rik
2310014F06Rik
2310015A10Rik
2310016D03Rik
2310016D23Rik
2310016G11Rik
2310022A10Rik
2310022B05Rik
2310030G06Rik
2310031A07Rik
2310033P09Rik
2310040G07Rik
2310040G24Rik
2310043O21Rik
2310058D17Rik
2310061I04Rik
2410003L11Rik
2410004B18Rik
2410004I01Rik
2410006H16Rik
2410012E07Rik
2410015M20Rik
2410018L13Rik
2410022M11Rik
2410080I02Rik
2410131K14Rik
2410141K09Rik
2500004C02Rik
2510009E07Rik
2510017J16Rik
2510039O18Rik
2510046G10Rik
2600014E21Rik
2610001J05Rik
2610002M06Rik
2610005L07Rik
2610008E11Rik
2610020C07Rik
2610021A01Rik
2610027K06Rik
2610028E06Rik
2610028H24Rik
2610035D17Rik
2610035F20Rik
2610037D02Rik
2610044O15Rik8
2610203C22Rik
2610204G07Rik
2610206C17Rik
2610300M13Rik
2610301B20Rik
2610306M01Rik
2610307P16Rik
2610316D01Rik
2610318N02Rik
2610507B11Rik
2610528A11Rik
2700012I20Rik
2700016F22Rik
2700033N17Rik
2700038G22Rik
2700046A07Rik
2700046G09Rik
2700049A03Rik
2700062C07Rik
2700069I18Rik
2700080J24Rik
2700081O15Rik
2700097O09Rik
2700099C18Rik
2810001G20Rik
2810002D19Rik
2810004N23Rik
2810006K23Rik
2810021J22Rik
2810025M15Rik
2810029C07Rik
2810030D12Rik
2810032G03Rik
2810049E08Rik
2810402E24Rik
2810403D21Rik
2810404M03Rik
2810405F15Rik
2810407A14Rik
2810408I11Rik
2810410L24Rik
2810414N06Rik
2810425M01Rik
2810428J06Rik
2810429I04Rik
2810433D01Rik
2810454H06Rik
2810455O05Rik
2810459M11Rik
2810468N07Rik
2810471M01Rik
2900005J15Rik
2900009J06Rik
2900011O08Rik
2900026A02Rik
2900052L18Rik
2900052N01Rik
2900060B14Rik
2900064F13Rik
2900076A07Rik
2900076G11Rik
2900079G21Rik
2900089D17Rik
2900092C05Rik
2900093K20Rik
2900097C17Rik
3000002C10Rik
3010001F23Rik
3110009E18Rik
3110021N24Rik
3110039I08Rik
3110039M20Rik
3110040N11Rik
3110056K07Rik
3110067C02Rik
3110082I17Rik
3110082J24Rik
3110099E03Rik
3300002A11Rik
3300002I08Rik
3300002P13Rik
3632454L22Rik
3830406C13Rik
3830408C21Rik
4430402I18Rik
4632404H12Rik
4632415L05Rik
4632427E13Rik
4632428C04Rik
4731419I09Rik
4732414G09Rik
4732416N19Rik
4732419C18Rik
4732440D04Rik
4732463B04Rik
4732465J04Rik
4732471J01Rik
4732487G21Rik
4732491K20Rik
4732496C06Rik
4831440E17Rik
4833413G10Rik
4833420G17Rik
4833422C13Rik
4833439L19Rik
4921504A21Rik
4921504E06Rik
4921507G05Rik
4921511C10Rik
4921515E04Rik
4921518K17Rik
4921524J17Rik
4921524L21Rik
4921531C22Rik
4921539E11Rik
4930402H24Rik
4930404A12Rik
4930404I05Rik
4930404N11Rik
4930405A21Rik
4930405D11Rik
4930412B13Rik
4930412C18Rik
4930412E21Rik
4930417O13Rik
4930419G24Rik
4930422M22Rik
4930425L21Rik
4930426D05Rik
4930426L09Rik
4930430A15Rik
4930430E12Rik
4930430F08Rik
4930431P19Rik
4930432B10Rik
4930432E11Rik
4930432M17Rik
4930433N12Rik
4930441H08Rik
4930443O20Rik
4930444A19Rik
4930444P10Rik
4930445B16Rik
4930445N18Rik
4930447C04Rik
4930447M23Rik
